symbol,timeframe,active,first_day,last_day,n,sha256
CLRO,1d,1,17898,20658,1900,5f950bb936c35a48177244f19e63320bceda61d2e45ea675d40a6d29b72500d3
CLX,1d,0,17898,20657,1899,5da95e5330072b501c3456690cbb2a6591a00e03a154ab3a76bea65fe4037bfb
CMBT,1d,0,17898,20657,1899,4c773366b49e70e6ebd256fe1fbf576c28d002dbdd21cd9a336287ed832f810a
CMC,1d,0,17898,20657,1899,182b2ea775aa611f6ce1313792056eccf023565f45df5785c8e556ccc2386639
CMCSA,1d,1,17898,20658,1900,341beaa72168c2cf69141a158855057ee2005c31fa97e65c89899ebdea9d2ff2
CME,1d,1,17898,20658,1900,8ef3a1b93b305f457994ac6b035400923c34271d5cc5b01d625a4984d7aeba25
CMG,1d,1,17898,20658,1900,617842482556387df1dd55fa7b1d6d2f54289b06762f995e1133700bc2da1efc
CMI,1d,1,17898,20658,1900,f9ab4884ce2087671f71d30c6f96f9dd1b89945d68507a376983e7d480e85f08
CMS,1d,0,17898,20657,1899,51e7c89f60b1533a39a435fbfdc662193021393160ebc35a5c8c8a733fe35b32
CNC,1d,0,17898,20657,1899,1a88f7fcfac78f83368637d9980d23a8e31b0f83e7528cd6dbe98b4caefc7035
CNMD,1d,0,17898,20657,1899,a9e0b9c40f8a60156c2a0c9a4eee5235871217c17afc5c44723eebf1a9e501c0
CNP,1d,0,17898,20657,1899,f3a8847fddddbb4deac944e9baf0293a3c3db28aa4241d61e9b865f5905b7c38
CNXC,1d,0,18590,20657,1417,88bb1e5f05f91bb418a342f776d0064719ccc83a652acb37a41971bb8c02f6f1
COF,1d,1,17898,20658,1900,6b3930411c113dfd5c68d81e36ec6c9acc54746bd4ce05b561a9f3c06829569f
COIN,1d,1,18731,20658,1326,1bfb4726434c841428a4f2b5ae67578fbb22b1170b47a860556d4ab8af239d5e
CONL,1d,0,19213,20657,992,1c7e70f9f43aa42b8aa2ec8794a2071619142db33387fc751a53f51565a6a6fc
COO,1d,0,17898,20657,1899,0377f9dc36ee2c82532addb954b87fc86b489d724242f23106057674c3394e4c
COP,1d,1,17898,20658,1900,3829c36a481d2cfc21f3728c4763d6a16ff021dae4a2615a3390e2edc0b55364
COR,1d,0,17898,20657,1899,f9a418bf15617f828c988e5a5cdf91f167063ebade74775ba7cbcb7bb627e009
CORD,1d,0,20357,20657,206,db870e2700b2b132b863a269203d204ac1c49fd8315ee075b204e1018955c4ee
COST,1d,1,17898,20658,1900,27e084124c5f7d789ca0838e5953726fb9811a16130f86a0f408f266422d71ae
CPAY,1d,0,17898,20657,1899,168237d2181a8b6a64cb0a57fc9da75ec22efcae3356783c66fbdef8d799cac4
CPB,1d,0,17898,20657,1899,c15d7d8cd68d3288e5bd8060d077f22b9c2a0fdc14bde5bc25f78aa5b443ab40
CPNG,1d,1,18697,20658,1349,2940783947ef4769c140a22d64021c4ad5491f8294a081d7d3f181fe1c82e475
CPOP,1d,1,18808,20658,1272,276edaedd8adc2d04d69f4ff9e8b91ff026c979689a21317da6b86afeba76370
CPRT,1d,0,17898,20657,1899,2936da7c8b0365abf61c33c75b0e7054ca3118c0c7b691ace8e961f9a3b1f500
CPT,1d,0,17898,20657,1899,8382b6e507d8146c41ce6e266a45df3ccf91b180f33c07f4df9de896073af64d
CRCA,1d,0,20307,20657,241,54ac5c716543c6c06aef9a173e9b101cf40c7e6c0acf99ff7886121805cfce3a
CRCD,1d,0,20357,20657,206,10dccbf970539aad6d08b02125e9818a6ccade6eb2e2ff0ce37e640b464fd4bd
CRCG,1d,0,20311,20657,239,c9cf82ea1e8f63df0f53a7e286a0c85570f3af57d32e279a2936a7704389935f
CRCL,1d,1,20244,20658,285,02552d64b2672f6147162f1c8ff12deaec1f7024858f34dba1865d4188b86cf1
CRDO,1d,1,19019,20658,1126,5027203d9cf2cbf2507185bd50831be9ba84ed064a45842033115d63c8c72dd7
CRE,1d,0,20292,20657,252,ffc037d790fe4eb44b11df18ac220fa516efe058be6e36f4565d8638d91ccc6e
CRGY,1d,0,18969,20657,1159,269305edaa063e6afde7e99175a179234ea15755cad9bd0d7c3eeb2cd822acb9
CRK,1d,0,17898,20657,1899,626da6662715c448375a094ca6c8e73da05918b1d809a97f4925d51f90098a87
CRL,1d,0,17898,20657,1899,4e71aa88fc8fb8989adb17328167689223f6dd718d52f774c298f0dc61f9116b
CRM,1d,1,17898,20658,1900,e41f8d0c3dd59d2bf931911622363f67d8f30ca2f466acc9f2d1c393703a3d9d
CRMG,1d,0,20182,20657,326,d96ab00f996845d1699b6915f44fdd82da4cec7bebf6ce5618ebb402547feb27
CRML,1d,1,19030,20658,1119,ad85bb1da0717f5c70a77f2293389ddd9e389861da9f0d8869499007942259c2
CRNX,1d,1,17898,20658,1900,f508bbbf40cc26a6501ffd51bbafbd58a4f0ac977e3815ac603a24a5d9719678
CROX,1d,0,17898,20657,1899,0edf7d90ce906c0e5b700470ca3990051bac132751b1162c531e8af22be87667
CRSP,1d,0,17898,20657,1899,952534367366c81e859bc040f63ac6fd406b2dfd2a63322a5f9872d2c475f869
CRWD,1d,1,18059,20658,1789,1fd26f70490e8160dff07ef22e98b4c812d7f3c861e09d9ebc94fff2f2466d21
CRWU,1d,0,20294,20657,250,28419c14404da59f50f9dad5b931e9f75ec8815a8fb2ef10acdce768ac58aaf6
CSAN,1d,0,18697,20657,1348,bb14ae9878fa238a0adfbe871e426d9fb961eb8a8ac227456556a65c196a6a36
CSCO,1d,1,17898,20658,1900,eda4bf8c784d5253c81797966106b4083f89fab229dd2ee235dfb9b1e6429b7c
CSGP,1d,0,17898,20657,1899,3e2bc6f614564e314ed884da2d26917bd8c817d3fce96930a1845e9b3c7ea551
CSX,1d,1,17898,20658,1900,f52ebb24e11e1d5d390ec81b95be51ba89625f4abcb046a5ba25dfc533711960
CTAS,1d,0,17898,20657,1899,5be4c5a755f4d2cf1705354d95a1467f273e5cca233c3d75551e234bc9d4f018
CTLT,1d,0,17898,20074,1501,189a7919334497fd0f5c88aae1f3dd38f6161e6d1c778a6e7b7010546cfc6039
CTRA,1d,0,17898,20579,1846,993f1e57e6c4cd3703fbd175a62802670028a3a98543feb3d80070cb112acaf7
CTSH,1d,0,17898,20657,1899,b4ed6530bba8e1ef9758261888f96eb13141c31ea34fd0f31beec581af03ed0d
CTVA,1d,0,18050,20657,1795,ac8096fd27c696e28a28ce91a6a77bb729c154f35b41d23c677b029edd5ebe20
CVE,1d,0,17898,20657,1899,ee22ddb62185ccfe3dc788d9f1a57a44d1ef676d78d845ce20b92fffea79b97e
CVI,1d,0,17898,20657,1899,02d3fd04bc3d834d13957143dc2a0c1c28746bd609acf54d292fce85f06de78e
CVS,1d,1,17898,20658,1900,23332a5c0d713a9092a0fc9d4e4179be6e5ff961ecdc48c777bfaf390ae2c5ed
CVX,1d,1,17898,20658,1900,e4cd10ef808e464c593813db32e887cec0f94fdaf0bc75d4a4cf87f5a602a25d
CWD,1d,1,19494,20658,799,91cd463db37684e95b831ddf0c894d138a604c695d825c8d1fc469cf560fbda6
CXM,1d,0,18801,20657,1276,40269ebd1edb1410d5cf7d10d3adfd0ce53f4f73340f555ea10f21732e7e5579
CZR,1d,0,17898,20657,1899,9239a18cad42e1bac5dc6b4b837a30d9c6733219bf238e24d663633457123bb6
D,1d,0,17898,20657,1899,6eb7f5888a99a8d68809d00465cdc3670bb1c31d4eee2b42b6ccc3f6dd0aa70a
DAICW,1d,0,20262,20657,273,42b4bfa660a991297b12409c4b400fb9793e797f8427688712dc10cb172dee29
DAL,1d,1,17898,20658,1900,49f0ca2034d194589ecdab1cb2ff4e5cb8c79f3c752b02746ff0ac1dda68b3f2
DAY,1d,0,19754,20487,503,43666945508f488cbdd4e758699f9e4f5e1a2d2db3ac7d79a9e5da99c700f68f
DD,1d,0,17898,20657,1899,c532e4835502e5a85b877019844c2b2aa3c0fe21522d29b59bfd99474a79c798
DE,1d,1,17898,20658,1900,6a914d23fd6a1cc157acb42fb3959ef955f269cea5d62aa6daee9196b6fea426
DECK,1d,0,17898,20657,1899,186a46862904fed561bb82cb2753f98e19e6a8ec63152ebe61296ac6e62f8e48
DFNS,1d,1,18465,20658,1509,08a401ec9ce03d1e729c2c2f508af41348c36a3ab576e5831ca97d90f8671ecf
DFS,1d,0,17898,20224,1603,9bd7cf7e329000e958f74ef2f94218280e10606a56cc5a4650c756b8691898a7
DFSCW,1d,0,19333,20657,908,3d78161cb461905bd00055e1ca1716d497eca853b1847f954e9f3ae143e1861f
DG,1d,0,17898,20657,1899,cc7fb138144ffefbc6473a67e0aa238a332d927c5a66c05223e00d6af9eebf34
DGX,1d,0,17898,20657,1899,7ae26c7ba87aec0459bce57ffcaf94da949bbaa32227f26e5ae08350dcd31772
DGXX,1d,0,18946,20657,1175,1c3dc804995ad2cd518e049edaa0b5b592cab7f636c9441868355af078e74b3a
DHI,1d,0,17898,20657,1899,4f13fd943490f9001658819c1e5e3961ac918ddddbed81320c6799e607610ed8
DHR,1d,1,17898,20658,1900,738ce0cffd6c5a0c5478470c790ed01847a78cc232da4da5a653c28d58063c6b
DHT,1d,0,17898,20657,1899,76c159888352b6a12cbaf95a5097f7a83537e2aa756e53c44dd0854d39f93205
DIA,1d,1,17898,20658,1900,ea522091a4580eb1178e8939e3301aea4ca8fe82c6ea9de78fbbc5b5d92e75a9
DINO,1d,0,17898,20657,1899,24c1473939be7df9db1ba940f5b8522dea7f75fa6a94885186e3e9861991f3d0
DIS,1d,1,17898,20658,1900,fa7e16cd0c32313c36c20d124dcc8a9e9180b34bfaac4d6fc1c432743dcb16bb
DLLL,1d,1,20132,20658,362,1a370273031426f8c237d1cd8a562e49f4afc1c13637963d040f320f24bee83b
DLO,1d,0,18781,20657,1290,38ece8fcec33189419cf96822680df842c2c04cd053c35e62fab9be1bb5dc4d7
DLR,1d,0,17898,20657,1899,42770d91e0c4f937374587fa2ac4fb92c3aa6076cfa23cdd401c505065297712
DLTR,1d,0,17898,20657,1899,49d6e5ece1e273357b111ea4c6c13d97224cbfbd907e65d1ea222a178feb82b9
