horizon,day,n,mean_prob,share_up_calls,realized_up,acc,auc_within
1w,2026-08-08,327,0.498848,0.535168,0.574924,0.513761,0.565590
1w,2026-08-09,327,0.498595,0.535168,0.587156,0.501529,0.545370
1w,2026-08-10,329,0.449143,0.300912,0.541033,0.522796,0.552515
1w,2026-08-11,514,0.463313,0.354086,0.445525,0.488327,0.496514
1w,2026-08-12,1038,0.476803,0.351638,0.472062,0.501927,0.507627
1w,2026-08-13,67,0.508821,0.537313,0.358209,0.462687,0.454457
1w,2026-08-14,66,0.498503,0.545455,0.424242,0.515152,0.462406
1w,2026-08-15,63,0.497363,0.539683,0.412698,0.523810,0.453222
1w,2026-08-16,62,0.497128,0.532258,0.419355,0.500000,0.433761
1w,2026-08-17,65,0.494876,0.507692,0.523077,0.492308,0.486717
1w,2026-08-18,235,0.494246,0.519149,0.557447,0.468085,0.470787
1w,2026-08-19,59,0.490032,0.440678,0.474576,0.559322,0.502304
1w,2026-08-20,62,0.496967,0.500000,0.467742,0.451613,0.460815
1w,2026-08-21,235,0.491397,0.476596,0.425532,0.480851,0.451481
1w,2026-08-22,67,0.512104,0.492537,0.343284,0.432836,0.365613
1w,2026-08-23,67,0.510127,0.492537,0.343284,0.432836,0.379447
1w,2026-08-24,233,0.491725,0.472103,0.317597,0.510730,0.480452
1w,2026-08-25,110,0.454012,0.409091,0.327273,0.445455,0.402402
1w,2026-08-26,236,0.483507,0.466102,0.317797,0.538136,0.481822
1w,2026-08-27,238,0.493621,0.495798,0.487395,0.487395,0.484172
1w,2026-08-28,232,0.506746,0.512931,0.495690,0.551724,0.555779
1w,2026-08-29,5,0.456933,0.400000,0.400000,0.600000,
1w,2026-08-30,60,0.508994,0.533333,0.416667,0.550000,0.593143
1w,2026-08-31,61,0.532406,0.622951,0.409836,0.459016,0.498889
1w,2026-09-01,61,0.560762,0.655738,0.459016,0.508197,0.596320
1w,2026-09-02,1,0.291085,0.000000,1.000000,0.000000,
1w#pm,2026-07-27,326,0.500000,1.000000,0.573620,0.573620,0.500000
1w#pm,2026-07-28,328,0.500000,1.000000,0.673780,0.673780,0.500000
1w#pm,2026-07-29,327,0.500000,1.000000,0.694190,0.694190,0.500000
1w#pm,2026-07-30,327,0.500000,1.000000,0.730887,0.730887,0.500000
1w#pm,2026-07-31,328,0.500000,1.000000,0.728659,0.728659,0.500000
1w#pm,2026-08-02,328,1.000000,1.000000,0.704268,0.704268,0.500000
1w#pm,2026-08-03,328,1.000000,1.000000,0.679878,0.679878,0.500000
1w#pm,2026-08-04,331,1.000000,1.000000,0.540785,0.540785,0.500000
1w#pm,2026-08-05,327,1.000000,1.000000,0.617737,0.617737,0.500000
1w#pm,2026-08-06,329,1.000000,1.000000,0.665653,0.665653,0.500000
1w#pm,2026-08-07,330,1.000000,1.000000,0.572727,0.572727,0.500000
1w#pm,2026-08-08,327,1.000000,1.000000,0.574924,0.574924,0.500000
1w#pm,2026-08-09,327,1.000000,1.000000,0.587156,0.587156,0.500000
1w#pm,2026-08-10,329,1.000000,1.000000,0.541033,0.541033,0.500000
1w#pm,2026-08-11,514,1.000000,1.000000,0.445525,0.445525,0.500000
1w#pm,2026-08-12,1038,1.000000,1.000000,0.471098,0.471098,0.500000
1w#pm,2026-08-13,67,1.000000,1.000000,0.358209,0.358209,0.500000
1w#pm,2026-08-14,66,1.000000,1.000000,0.424242,0.424242,0.500000
1w#pm,2026-08-15,63,1.000000,1.000000,0.412698,0.412698,0.500000
1w#pm,2026-08-16,62,1.000000,1.000000,0.419355,0.419355,0.500000
1w#pm,2026-08-17,65,1.000000,1.000000,0.523077,0.523077,0.500000
1w#pm,2026-08-18,235,1.000000,1.000000,0.557447,0.557447,0.500000
1w#pm,2026-08-19,59,1.000000,1.000000,0.474576,0.474576,0.500000
1w#pm,2026-08-20,62,1.000000,1.000000,0.467742,0.467742,0.500000
1w#pm,2026-08-21,235,1.000000,1.000000,0.425532,0.425532,0.500000
1w#pm,2026-08-22,67,1.000000,1.000000,0.343284,0.343284,0.500000
1w#pm,2026-08-23,67,1.000000,1.000000,0.343284,0.343284,0.500000
1w#pm,2026-08-24,233,1.000000,1.000000,0.317597,0.317597,0.500000
1w#pm,2026-08-25,110,1.000000,1.000000,0.327273,0.327273,0.500000
1w#pm,2026-08-26,236,1.000000,1.000000,0.317797,0.317797,0.500000
1w#pm,2026-08-27,238,1.000000,1.000000,0.487395,0.487395,0.500000
1w#pm,2026-08-28,232,1.000000,1.000000,0.495690,0.495690,0.500000
1w#pm,2026-08-29,5,1.000000,1.000000,0.400000,0.400000,
1w#pm,2026-08-30,60,1.000000,1.000000,0.416667,0.416667,0.500000
1w#pm,2026-08-31,61,1.000000,1.000000,0.409836,0.409836,0.500000
1w#pm,2026-09-01,61,1.000000,1.000000,0.459016,0.459016,0.500000
1w#pm,2026-09-02,1,1.000000,1.000000,1.000000,1.000000,
