kind,day,n,acc,n_frozen,naive_acc,n_superseded
filingsdrift21,2026-07-24,10,0.6,0,0.0,0
filingsdrift21,2026-07-27,5,0.8,0,0.0,0
filingsdrift21,2026-07-23,7,0.1429,0,0.0,0
filingsdrift21,2026-07-22,2,0.5,0,0.0,0
filingsdrift21,2026-07-29,17,0.4118,0,0.0,0
filingsdrift21,2026-07-30,12,0.25,0,0.0,0
filingsdrift21,2026-07-31,11,0.2727,0,0.0,0
filingsdrift21,2026-08-03,13,0.3077,0,0.0,0
filingsdrift21,2026-08-04,8,0.25,0,0.0,0
filingsdrift21,2026-08-05,21,0.5714,0,0.0,0
filingsdrift21,2026-08-06,17,0.5294,0,0.0,0
filingsdrift21,2026-08-07,27,0.4074,0,0.0,0
filingsdrift21,2026-08-10,13,0.6154,0,0.0,0
