h,k,weighting,beta_neutral,vol_target,sharpe,ann_ret,ann_vol,max_dd,calmar,t_nw,beta,worst_day,turnover
42,10,equal,False,0.0,0.42996337651686184,0.09872132986016394,0.2296040436278702,-0.23033283613828556,0.42860293614799383,1.0915462794374367,0.5399705959792587,-0.06378787221326634,11.52344497607656
42,10,invvol,False,0.0,0.17066396677478798,0.037870169315686555,0.22189903370557937,-0.25695935258416824,0.14737805390166525,0.44600558653449074,0.49785289537223454,-0.08580710878144752,11.523444976076556
42,10,conviction,False,0.0,0.6000490697417271,0.15388808885715574,0.25645917411953023,-0.2702446546921472,0.5694398989406818,1.50243740249714,0.6695426406956128,-0.07862049730776548,11.523444976076556
42,10,conviction_invvol,False,0.0,0.3154855564758014,0.07864742326936414,0.24929009159060064,-0.26691370859720337,0.29465486685830033,0.8318865209601303,0.6308984904725468,-0.10658981280797467,11.523444976076556
42,10,equal,True,0.0,0.9032780668082409,0.11869202031433942,0.1314014196467109,-0.20235354935780508,0.586557639789486,1.772994079254963,0.06816099550538343,-0.035161521669036765,9.700044165830684
42,10,equal,False,0.1,0.283361004643924,0.032700119612811634,0.11540091641721531,-0.15336531473591036,0.21321717801133902,0.7401805544795983,0.21515282339571493,-0.04148894936536214,11.52344497607656
42,10,invvol,True,0.1,0.4178234015140464,0.04466331176640342,0.10689518970110133,-0.1433781491064777,0.3115071023356206,0.8749593509830892,0.06240659730435994,-0.02655223002870572,10.090705792001511
42,10,conviction_invvol,True,0.1,0.47079103330443267,0.05065224632827375,0.10758965813930434,-0.14807454300800943,0.3420726162601356,1.0071552061114422,0.07655295421779512,-0.03151729232435384,10.068477508498699
42,25,invvol,True,0.1,-0.2456991877224784,-0.02623404716268142,0.10677303171353274,-0.16540427339944813,-0.1586056189692675,-0.5935318072421938,0.047481546779476844,-0.04255656391710742,10.717864759826664
21,10,equal,False,0.0,0.6924876819330715,0.15703613787035767,0.22677101985697862,-0.23676263567500888,0.6632640214645718,1.7098995152112628,0.39822031707399097,-0.059824475274643275,23.529186602870823
21,10,invvol,False,0.0,0.34820366487842697,0.07314781323457396,0.21007192230476104,-0.2489700833522781,0.29380161764686435,0.8715861215852333,0.3492732025002728,-0.09066277106488853,23.529186602870816
21,10,conviction,False,0.0,0.9320527598953919,0.23016343516907473,0.24694249625408213,-0.2282900669911633,1.0082060871180345,2.175680769744189,0.47122990275782717,-0.06782443876890445,23.529186602870816
21,10,conviction_invvol,False,0.0,0.5819725959922997,0.1318148246561771,0.22649661781999306,-0.23784956323623518,0.5541941000970305,1.3809254820814825,0.4294973243164702,-0.09522663457467086,23.529186602870816
21,10,equal,True,0.0,0.8225045455873106,0.11705856150436265,0.14231965298231491,-0.2584199510008533,0.45297803459445796,1.5697644231553478,0.08074628675417814,-0.03815115343560916,19.725783440594338
21,10,equal,False,0.1,0.644245701208141,0.07711005227941321,0.11969044129407505,-0.14577164268085321,0.5289784135055333,1.60752239773095,0.17187767826708375,-0.0518398499757387,23.529186602870823
21,10,invvol,True,0.1,0.31852466520413714,0.03568854462858255,0.11204326862948072,-0.19707391279963904,0.18109218070311697,0.6778203965729432,0.0644814981558499,-0.03604791714818543,20.62804143270307
21,10,conviction_invvol,True,0.1,0.5939202899451279,0.06680239138719045,0.11247703188143698,-0.16146097395748188,0.41373707682936295,1.2379583225443007,0.0661600660107521,-0.03785111941455181,20.483663642365688
21,25,invvol,True,0.1,-0.2600501295671251,-0.029354834722398575,0.11288144624754512,-0.1936357602401086,-0.15159821040286434,-0.580207956503618,0.04535687688376406,-0.045193653094516124,22.030784413110037
10,10,equal,False,0.0,0.8401038044294971,0.18998314830857965,0.22614246871265462,-0.22695697989043687,0.8370888104005161,1.7729043151316497,0.3920935848761006,-0.06276444561173815,49.94181818181819
10,10,invvol,False,0.0,0.4485465383562374,0.08876624789453219,0.19789752077862138,-0.2227645402792292,0.39847566306229054,0.9603829545949966,0.31112924156987626,-0.06933998498299737,49.94181818181819
10,10,conviction,False,0.0,1.1078147664589562,0.27511922795433813,0.24834407004136203,-0.21802858896145091,1.261849325654175,2.304455945141008,0.46695258549615426,-0.06940158704216551,49.94181818181819
10,10,conviction_invvol,False,0.0,0.6992713314967824,0.1497410215495096,0.21413865377405167,-0.22452990631301922,0.666909027881365,1.4778305849128606,0.39052469110295834,-0.08943248146878023,49.941818181818185
10,10,equal,True,0.0,0.7661916539199979,0.12306218513472944,0.16061540804460264,-0.26492852348596163,0.46451089341178625,1.3863443245067577,0.08267940415637116,-0.05411151982121769,42.31859442194057
10,10,equal,False,0.1,0.7058925734538675,0.08609011976700735,0.12195923714819142,-0.1417117032379454,0.6075018350633686,1.6327672539611748,0.17901517154380403,-0.10176010753157712,49.94181818181819
10,10,invvol,True,0.1,0.13466710137479052,0.015067439682625482,0.11188656716306278,-0.22769353754781688,0.06617420874082225,0.2676579198018045,0.060181712735020716,-0.03275073311970857,44.125887493847124
10,10,conviction_invvol,True,0.1,0.3248372389051616,0.03636399065202603,0.1119452645718453,-0.21314135810774984,0.17060973513006733,0.6521160919549182,0.06621804120347531,-0.03470098749985562,43.934737717525636
10,25,invvol,True,0.1,-0.2989882182436733,-0.034191151900947736,0.1143561846744148,-0.21121028203755057,-0.16188204272587908,-0.6779176485559745,0.03859374609766762,-0.044873979246048856,46.367453375232635
