id,target,horizon,model,window,universe,features,eval_on,coverage,n,days,blocks,acc,null,skill,ci_lo,ci_hi,deff,agreement,day_acc,by_day,trials,se,bar,passes
H_extremes10_1_ens3_v2_no_market,extremes10,1,ens3,expanding,liquid,v2_no_market,relative,0.1,82459,1008,1008,0.5237148158478759,0.5133338992711529,0.01038091657672302,0.5148435800272023,0.532037573214477,6.597053032885735,0.8847036911355852,0.5426587301587301,"            day   n       acc   frac_up      y_up
0    2020-12-31  69  0.318841  0.811594  0.362319
1    2021-01-04  69  0.434783  0.782609  0.449275
2    2021-01-05  69  0.405797  0.753623  0.246377
3    2021-01-06  69  0.666667  0.695652  0.739130
4    2021-01-07  69  0.753623  0.449275  0.579710
...         ...  ..       ...       ...       ...
1003 2024-12-27  91  0.417582  0.923077  0.384615
1004 2024-12-30  91  0.527473  0.901099  0.472527
1005 2024-12-31  91  0.417582  0.879121  0.428571
1006 2025-01-02  91  0.483516  0.923077  0.428571
1007 2025-01-03  91  0.450549  0.890110  0.494505

[1008 rows x 5 columns]",11,0.00438622275185578,0.009605517927514049,True
H_extremes10_1_ens3_v2_no_market,extremes10,1,ens3,expanding,liquid,v2_no_market,relative,0.05,40948,1008,1008,0.5226384683012602,0.505592458728143,0.017046009573117193,0.5129286932948516,0.5323485956241367,4.0397509982822015,0.8606094648047365,0.5238095238095238,"            day   n       acc   frac_up      y_up
0    2020-12-31  34  0.294118  0.852941  0.382353
1    2021-01-04  34  0.500000  0.852941  0.470588
2    2021-01-05  34  0.323529  0.764706  0.205882
3    2021-01-06  34  0.676471  0.764706  0.794118
4    2021-01-07  34  0.705882  0.382353  0.500000
...         ...  ..       ...       ...       ...
1003 2024-12-27  45  0.466667  0.866667  0.377778
1004 2024-12-30  45  0.600000  0.800000  0.488889
1005 2024-12-31  45  0.355556  0.822222  0.355556
1006 2025-01-02  45  0.466667  0.844444  0.355556
1007 2025-01-03  45  0.466667  0.866667  0.511111

[1008 rows x 5 columns]",12,0.004954056716654373,0.011044117316119336,True
H_extremes10_1_ens3_v2_no_market,extremes10,1,ens3,expanding,liquid,v2_no_market,relative,0.02,16197,1008,1008,0.5239241834907699,0.49700561832438106,0.026918565166388797,0.5124720153806267,0.5356220315469299,2.2299397442617854,0.8113532102655877,0.4662698412698413,"            day   n       acc   frac_up      y_up
0    2020-12-31  13  0.461538  0.846154  0.461538
1    2021-01-04  13  0.692308  0.846154  0.538462
2    2021-01-05  13  0.307692  0.769231  0.230769
3    2021-01-06  13  0.769231  0.692308  0.769231
4    2021-01-07  13  0.615385  0.384615  0.615385
...         ...  ..       ...       ...       ...
1003 2024-12-27  18  0.666667  0.666667  0.444444
1004 2024-12-30  18  0.555556  0.611111  0.277778
1005 2024-12-31  18  0.333333  0.666667  0.333333
1006 2025-01-02  18  0.555556  0.666667  0.333333
1007 2025-01-03  18  0.388889  0.666667  0.500000

[1008 rows x 5 columns]",13,0.005905616368954895,0.013375795701481862,True
H_extremes10_1_ens3_v2_no_market,extremes10,1,ens3,expanding,liquid,v2_no_market,relative,0.01,7948,1008,1008,0.5226472068444892,0.5086814292903875,0.013965777554101666,0.5085257539329533,0.5366462310887617,1.6302864373797916,0.7649242567397329,0.46130952380952384,"            day  n       acc   frac_up      y_up
0    2020-12-31  6  0.500000  0.666667  0.500000
1    2021-01-04  6  0.666667  0.666667  0.333333
2    2021-01-05  6  0.333333  0.500000  0.166667
3    2021-01-06  6  0.666667  0.666667  0.666667
4    2021-01-07  6  0.666667  0.166667  0.500000
...         ... ..       ...       ...       ...
1003 2024-12-27  9  0.777778  0.333333  0.333333
1004 2024-12-30  9  0.555556  0.444444  0.222222
1005 2024-12-31  9  0.444444  0.444444  0.333333
1006 2025-01-02  9  0.777778  0.333333  0.333333
1007 2025-01-03  9  0.555556  0.444444  0.666667

[1008 rows x 5 columns]",14,0.007173591111175626,0.016480714225550756,False
H_extremes10_1_ens_lh_v2_all,extremes10,1,ens_lh,expanding,liquid,v2_all,relative,1.0,829284,1008,1008,0.5133319827706793,0.5145257836880972,-0.001193800917417942,0.5099347587367331,0.5167864122753614,10.570177348601819,0.8459913927677344,0.5863095238095238,"            day    n       acc   frac_up      y_up
0    2020-12-31  693  0.455988  0.636364  0.383838
1    2021-01-04  695  0.461871  0.635971  0.474820
2    2021-01-05  696  0.432471  0.416667  0.550287
3    2021-01-06  696  0.570402  0.561782  0.497126
4    2021-01-07  696  0.632184  0.441092  0.515805
...         ...  ...       ...       ...       ...
1003 2024-12-27  917  0.466739  0.854962  0.435115
1004 2024-12-30  916  0.538210  0.905022  0.524017
1005 2024-12-31  911  0.431394  0.905598  0.462130
1006 2025-01-02  914  0.508753  0.908096  0.521882
1007 2025-01-03  917  0.505998  0.874591  0.496183

[1008 rows x 5 columns]",15,0.0017478708006704762,0.004067735264846935,False
H_extremes10_1_ens_lh_v2_all,extremes10,1,ens_lh,expanding,liquid,v2_all,relative,0.5,414381,1008,1008,0.5184986763389248,0.5194977568952245,-0.000999080556299714,0.5129656838096172,0.5241152097791273,13.837125861652515,0.9068906273156309,0.5625,"            day    n       acc   frac_up      y_up
0    2020-12-31  346  0.459538  0.742775  0.445087
1    2021-01-04  347  0.449568  0.720461  0.481268
2    2021-01-05  348  0.396552  0.393678  0.508621
3    2021-01-06  348  0.603448  0.594828  0.577586
4    2021-01-07  348  0.669540  0.448276  0.520115
...         ...  ...       ...       ...       ...
1003 2024-12-27  458  0.465066  0.936681  0.449782
1004 2024-12-30  458  0.541485  0.969432  0.528384
1005 2024-12-31  455  0.395604  0.967033  0.402198
1006 2025-01-02  457  0.463895  0.956236  0.450766
1007 2025-01-03  458  0.465066  0.941048  0.467249

[1008 rows x 5 columns]",16,0.0028442668289566666,0.006697736542243773,False
H_extremes10_1_ens_lh_v2_all,extremes10,1,ens_lh,expanding,liquid,v2_all,relative,0.25,206941,1008,1008,0.5197858326769466,0.5198873108760468,-0.00010147819910022449,0.5125003256105473,0.5269376197625294,11.409466322310097,0.914513787538469,0.5525793650793651,"            day    n       acc   frac_up      y_up
0    2020-12-31  173  0.416185  0.867052  0.410405
1    2021-01-04  173  0.450867  0.797688  0.491329
2    2021-01-05  174  0.390805  0.413793  0.448276
3    2021-01-06  174  0.614943  0.609195  0.649425
4    2021-01-07  174  0.747126  0.545977  0.568966
...         ...  ...       ...       ...       ...
1003 2024-12-27  229  0.454148  0.925764  0.432314
1004 2024-12-30  229  0.563319  0.965066  0.545852
1005 2024-12-31  227  0.378855  0.960352  0.383260
1006 2025-01-02  228  0.434211  0.942982  0.412281
1007 2025-01-03  229  0.467249  0.921397  0.467249

[1008 rows x 5 columns]",17,0.00368298320203626,0.00876706800209139,False
H_extremes10_1_ens_lh_v2_all,extremes10,1,ens_lh,expanding,liquid,v2_all,relative,0.1,82459,1008,1008,0.5195309183958088,0.5169478164906196,0.002583101905189178,0.5108187491414862,0.5287795343337668,6.8730593488087885,0.9084206673253891,0.5347222222222222,"            day   n       acc   frac_up      y_up
0    2020-12-31  69  0.478261  0.927536  0.463768
1    2021-01-04  69  0.478261  0.898551  0.463768
2    2021-01-05  69  0.362319  0.420290  0.362319
3    2021-01-06  69  0.579710  0.536232  0.666667
4    2021-01-07  69  0.739130  0.536232  0.623188
...         ...  ..       ...       ...       ...
1003 2024-12-27  91  0.483516  0.868132  0.417582
1004 2024-12-30  91  0.560440  0.934066  0.516484
1005 2024-12-31  91  0.395604  0.912088  0.395604
1006 2025-01-02  91  0.472527  0.934066  0.428571
1007 2025-01-03  91  0.406593  0.879121  0.439560

[1008 rows x 5 columns]",18,0.004581832957214442,0.01101618199482426,False
H_extremes10_1_ens_lh_v2_all,extremes10,1,ens_lh,expanding,liquid,v2_all,relative,0.05,40948,1008,1008,0.5192439191169288,0.5132362996971769,0.0060076194197519195,0.5095971067662668,0.5289172361201288,4.218524841305031,0.8938595890172811,0.5208333333333334,"            day   n       acc   frac_up      y_up
0    2020-12-31  34  0.529412  0.911765  0.558824
1    2021-01-04  34  0.529412  0.852941  0.500000
2    2021-01-05  34  0.352941  0.411765  0.352941
3    2021-01-06  34  0.617647  0.500000  0.647059
4    2021-01-07  34  0.705882  0.529412  0.647059
...         ...  ..       ...       ...       ...
1003 2024-12-27  45  0.488889  0.800000  0.422222
1004 2024-12-30  45  0.488889  0.866667  0.400000
1005 2024-12-31  45  0.444444  0.866667  0.444444
1006 2025-01-02  45  0.466667  0.866667  0.377778
1007 2025-01-03  45  0.444444  0.844444  0.511111

[1008 rows x 5 columns]",19,0.0049286044270056015,0.011960249509881121,False
H_extremes10_1_ens_lh_v2_all,extremes10,1,ens_lh,expanding,liquid,v2_all,relative,0.02,16197,1008,1008,0.5224424276100512,0.5020682842501698,0.020374143359881414,0.5104356519966026,0.5350313842244034,2.5555453089273445,0.867336053010948,0.47619047619047616,"            day   n       acc   frac_up      y_up
0    2020-12-31  13  0.461538  0.846154  0.461538
1    2021-01-04  13  0.538462  0.692308  0.384615
2    2021-01-05  13  0.538462  0.384615  0.230769
3    2021-01-06  13  0.615385  0.538462  0.615385
4    2021-01-07  13  0.615385  0.769231  0.692308
...         ...  ..       ...       ...       ...
1003 2024-12-27  18  0.666667  0.666667  0.444444
1004 2024-12-30  18  0.444444  0.722222  0.277778
1005 2024-12-31  18  0.444444  0.666667  0.444444
1006 2025-01-02  18  0.555556  0.777778  0.333333
1007 2025-01-03  18  0.666667  0.722222  0.722222

[1008 rows x 5 columns]",20,0.006274421486683896,0.015358195308386124,True
