h,k,weighting,beta_neutral,sharpe,t_nw,ann_ret,ann_vol,max_dd,calmar,beta,turnover,n_long_med,pool_med,acc,null,n_bets
21,10,conviction,False,0.7189376340434566,1.6644792273330549,0.1581282592578741,0.21994711609201412,-0.2580792919352268,0.6127119230378292,-0.4110913423988791,23.529186602870816,10.0,634.0,0.5394146341463415,0.5013658536585366,20500
21,10,conviction,True,0.7883031268948227,1.7426264126458342,0.11911294106020723,0.15110042951294744,-0.1548611826761726,0.7691594433272677,-0.14423841702931806,16.78386010999803,10.0,634.0,0.5394146341463415,0.5013658536585366,20500
21,10,equal,False,0.4010156490027911,0.9644814861711476,0.08429977868595101,0.2102156833419842,-0.23563319818020972,0.357758496413054,-0.42727099219792486,23.529186602870823,10.0,634.0,0.5394146341463415,0.5013658536585366,20500
21,10,equal,True,0.345986368968993,0.8350030143164671,0.046005671338795795,0.13296960650758696,-0.15948301444320423,0.2884675305355451,-0.15870815583843215,16.60216545808655,10.0,634.0,0.5394146341463415,0.5013658536585366,20500
21,20,conviction,False,0.6068618119721125,1.4348503997739515,0.12010082582245922,0.1979047345756834,-0.2106359058568803,0.5701821127498723,-0.3948444830842192,23.529186602870816,20.0,634.0,0.5373170731707317,0.5097560975609756,41000
21,20,conviction,True,0.7381577105196091,1.6120458337324546,0.0968193133277069,0.13116345185848316,-0.13839092789363125,0.6996073716777392,-0.139013043806221,17.617496527957865,20.0,634.0,0.5373170731707317,0.5097560975609756,41000
21,20,equal,False,0.1388114478171612,0.35065107163290565,0.025434888695468998,0.18323336508218807,-0.22793703659430015,0.11158734480145044,-0.397583016348276,23.52918660287082,20.0,634.0,0.5373170731707317,0.5097560975609756,41000
21,20,equal,True,0.030300175539601064,0.07598286458834043,0.003292114321021584,0.1086500082060227,-0.17122608802777875,0.01922670989532559,-0.14831941358083267,17.386720783984657,20.0,634.0,0.5373170731707317,0.5097560975609756,41000
21,40,conviction,False,0.4795351770855186,1.146730686425554,0.08300260759224684,0.17308971595517475,-0.18250500619426904,0.45479633311479684,-0.36324959561470593,23.529186602870816,40.0,634.0,0.5296341463414634,0.5255121951219512,82000
21,40,conviction,True,0.6061901040863534,1.3420053123345448,0.06601673967540135,0.108904350682038,-0.11902812981351062,0.5546314117413608,-0.128313632356849,18.46714214277997,40.0,634.0,0.5296341463414634,0.5255121951219512,82000
21,40,equal,False,-0.05154144611722607,-0.12982128544477534,-0.007884023876951349,0.1529647394646222,-0.24277840811471713,-0.03247415591103969,-0.34237212186255817,23.52918660287082,40.0,634.0,0.5296341463414634,0.5255121951219512,82000
21,40,equal,True,-0.25295315320490674,-0.6252983613920987,-0.0222172794437499,0.08783159712483447,-0.16553511702998366,-0.13421490160136623,-0.1268419717749168,18.257066089259734,40.0,634.0,0.5296341463414634,0.5255121951219512,82000
21,75,conviction,False,0.2470930884666655,0.6175583834123954,0.03345031831808431,0.13537537017186532,-0.1546880664306377,0.21624369022081913,-0.291553914759306,23.529186602870816,75.0,634.0,0.5234341463414635,0.5362536585365854,153750
21,75,conviction,True,0.2440460411633176,0.5907821019998389,0.019977585321617867,0.08185990326410869,-0.11992380820849727,0.1665856481715892,-0.09993953176562945,19.545423804005658,75.0,634.0,0.5234341463414635,0.5362536585365854,153750
21,75,equal,False,-0.12012677652062617,-0.30245506714397946,-0.014210273770668282,0.11829397393534763,-0.1993928977570577,-0.07126770276432925,-0.2694454190936364,23.529186602870816,75.0,634.0,0.5234341463414635,0.5362536585365854,153750
21,75,equal,True,-0.36213621547144614,-0.9166767027365987,-0.025148359047792012,0.06944447413262074,-0.149846047263783,-0.16782797749427347,-0.09828873277858426,19.384678736155355,75.0,634.0,0.5234341463414635,0.5362536585365854,153750
21,150,conviction,False,-0.015500379892540892,-0.03912475260174096,-0.0013947258203929787,0.08998010565303306,-0.12246964359910019,-0.011388339015328253,-0.18202874285915133,23.529186602870816,150.0,634.0,0.5182439024390244,0.5477138211382114,307500
