h,target,model,k,s_net,s_sharpe,s_dd,s_tr,s_long,s_short,o_net,o_sharpe,o_dd,o_tr
5,extremes10,logit,10,0.0925211369244821,0.35139176791553955,-0.24789964997549094,209,0.0017017766719327491,-0.006564935110784794,0.5333720050997335,0.5969173581768171,-0.3131384749981429,69
5,extremes10,logit,25,-0.002692040462544461,-0.12810517956183412,-0.20331730159489497,209,0.0016026654441603481,-0.002885745648595824,0.2576459170366391,0.5697859005628321,-0.15423011095924413,69
5,extremes10,logit,50,-0.03820986970183426,-0.521431897240839,-0.26740901843418075,209,0.0018537205803888339,-0.0012252528441415527,0.03219469133598268,-0.2061116418336896,-0.13116026901759184,69
5,extremes10,ens_lh,10,0.10599954868286077,0.24054545193772564,-0.2902886666239216,209,0.0014699711210708298,-0.007331598271106187,0.663072602348141,1.1161039820622751,-0.34114466705617746,69
5,extremes10,ens_lh,25,0.0004733851502056469,-0.2575956358999061,-0.3086719677973714,209,0.0013832146695821137,-0.003230808550664142,0.3426536811057738,0.7618124177902559,-0.1240581534635371,69
5,extremes10,ens_lh,50,-0.058391949755890085,-0.7781588073718979,-0.3936910058017727,209,0.0014623031757489628,-0.0008157940561601606,0.05388580245584424,-0.10780350471415806,-0.15229073572710458,69
5,extremes20,logit,10,0.05599875538177067,0.2980960745736489,-0.2589165077121446,209,0.0020470306153906395,-0.004770380312457403,0.6311259323956502,0.7010065158112719,-0.3683708466576921,69
5,extremes20,logit,25,-0.03203410165665386,-0.3680327683998684,-0.338108669959616,209,0.0013225979724251714,-0.0020014456126282464,0.26077156117663797,0.6822456507730003,-0.15218546855957243,69
5,extremes20,logit,50,-0.05625652424462961,-0.5457227501504379,-0.31826519735141534,209,0.00148169851962164,-0.0008811378198771858,0.002821999323359155,-0.40992578154938974,-0.18277429480083324,69
5,extremes20,ens_lh,10,0.12960060626006578,0.40738322113356834,-0.3829220964062654,209,0.0024854125642827414,-0.007252706731751613,0.7158601595796475,1.0883638982578425,-0.3249126237707936,69
5,extremes20,ens_lh,25,0.015118465120392277,0.05178934936967828,-0.34037221076473045,209,0.0021500278309657173,-0.0030451493563514367,0.292673004106759,0.569001474456249,-0.11733017681170584,69
5,extremes20,ens_lh,50,-0.034900094057487716,-0.3690659244394702,-0.3344045511925247,209,0.0019048461182414398,-0.0013054676096360314,0.026501440688570535,-0.16572380883005092,-0.19518487838730292,69
