id,target,horizon,model,window,universe,features,eval_on,coverage,n,days,acc,null,skill,ci_lo,ci_hi,deff,agreement,day_acc,by_day,trials,se,bar,passes
F_extremes10_1_hgb_shallow_top500,extremes10,1,hgb_shallow,expanding,top500,v2_all,relative,0.1,49135,1008,0.5034700315457413,0.5220718428818562,-0.018601811336114826,0.4930412477070163,0.5142061224280119,5.485626398363835,0.9312802005722924,0.5148809523809523,"            day   n       acc   frac_up      y_up
0    2020-12-31  48  0.479167  0.979167  0.500000
1    2021-01-04  48  0.312500  0.916667  0.312500
2    2021-01-05  48  0.375000  0.104167  0.562500
3    2021-01-06  48  0.479167  0.458333  0.645833
4    2021-01-07  48  0.604167  0.083333  0.395833
...         ...  ..       ...       ...       ...
1003 2024-12-27  49  0.306122  1.000000  0.306122
1004 2024-12-30  49  0.551020  1.000000  0.551020
1005 2024-12-31  49  0.469388  1.000000  0.469388
1006 2025-01-02  49  0.387755  1.000000  0.387755
1007 2025-01-03  49  0.469388  0.857143  0.530612

[1008 rows x 5 columns]",11,0.0053992027349478566,0.011823872520583232,False
F_extremes10_1_hgb_shallow_top500,extremes10,1,hgb_shallow,expanding,top500,v2_all,relative,0.05,24192,1008,0.5008267195767195,0.5229414682539683,-0.02211474867724872,0.4888806216931217,0.5125258349867725,3.528191850447331,0.9386574074074074,0.4771825396825397,"            day   n       acc   frac_up      y_up
0    2020-12-31  24  0.583333  0.958333  0.625000
1    2021-01-04  24  0.250000  0.875000  0.208333
2    2021-01-05  24  0.291667  0.083333  0.625000
3    2021-01-06  24  0.375000  0.291667  0.666667
4    2021-01-07  24  0.541667  0.083333  0.458333
...         ...  ..       ...       ...       ...
1003 2024-12-27  24  0.375000  1.000000  0.375000
1004 2024-12-30  24  0.583333  1.000000  0.583333
1005 2024-12-31  24  0.416667  1.000000  0.416667
1006 2025-01-02  24  0.375000  1.000000  0.375000
1007 2025-01-03  24  0.458333  1.000000  0.458333

[1008 rows x 5 columns]",12,0.006031942166747659,0.01344705576536012,False
F_extremes10_1_hgb_shallow_top500,extremes10,1,hgb_shallow,expanding,top500,v2_all,relative,0.02,9072,1008,0.5025352733686067,0.5230379188712522,-0.020502645502645467,0.48743386243386244,0.5173059964726632,2.072144412327392,0.9495149911816579,0.4990079365079365,"            day  n       acc   frac_up      y_up
0    2020-12-31  9  0.777778  1.000000  0.777778
1    2021-01-04  9  0.111111  0.888889  0.000000
2    2021-01-05  9  0.333333  0.111111  0.555556
3    2021-01-06  9  0.222222  0.000000  0.777778
4    2021-01-07  9  0.666667  0.111111  0.222222
...         ... ..       ...       ...       ...
1003 2024-12-27  9  0.444444  1.000000  0.444444
1004 2024-12-30  9  0.555556  1.000000  0.555556
1005 2024-12-31  9  0.333333  1.000000  0.333333
1006 2025-01-02  9  0.111111  1.000000  0.111111
1007 2025-01-03  9  0.444444  1.000000  0.444444

[1008 rows x 5 columns]",13,0.007620442356836923,0.017259753047251844,False
F_extremes10_1_hgb_shallow_top500,extremes10,1,hgb_shallow,expanding,top500,v2_all,relative,0.01,4032,1008,0.5004960317460317,0.5265376984126984,-0.02604166666666663,0.4826388888888889,0.5198412698412699,1.4754510939892507,0.9600694444444444,0.4246031746031746,"            day  n   acc  frac_up  y_up
0    2020-12-31  4  0.75     1.00  0.75
1    2021-01-04  4  0.00     1.00  0.00
2    2021-01-05  4  0.25     0.00  0.75
3    2021-01-06  4  0.25     0.00  0.75
4    2021-01-07  4  0.50     0.25  0.25
...         ... ..   ...      ...   ...
1003 2024-12-27  4  0.75     1.00  0.75
1004 2024-12-30  4  0.25     1.00  0.25
1005 2024-12-31  4  0.25     1.00  0.25
1006 2025-01-02  4  0.00     1.00  0.00
1007 2025-01-03  4  0.50     1.00  0.50

[1008 rows x 5 columns]",14,0.009490403304178824,0.021803392794123334,False
F_extremes10_1_logit_top500,extremes10,1,logit,expanding,top500,v2_all,relative,1.0,496982,1008,0.5178577896181351,0.5233992377993569,-0.00554144818122182,0.5129831890374968,0.5227838231560563,12.93556791783282,0.8844864678378026,0.6061507936507936,"            day    n       acc   frac_up      y_up
0    2020-12-31  487  0.457906  0.673511  0.344969
1    2021-01-04  487  0.472279  0.540041  0.451745
2    2021-01-05  487  0.347023  0.429158  0.519507
3    2021-01-06  487  0.542094  0.632444  0.498973
4    2021-01-07  487  0.638604  0.527721  0.560575
...         ...  ...       ...       ...       ...
1003 2024-12-27  491  0.405295  0.973523  0.399185
1004 2024-12-30  491  0.466395  0.977597  0.452138
1005 2024-12-31  492  0.416667  0.979675  0.420732
1006 2025-01-02  492  0.514228  0.961382  0.516260
1007 2025-01-03  492  0.522358  0.973577  0.520325

[1008 rows x 5 columns]",15,0.0025001617649386405,0.005818505678544255,False
F_extremes10_1_logit_top500,extremes10,1,logit,expanding,top500,v2_all,relative,0.5,248248,1008,0.5184734620218491,0.5219739937481873,-0.0035005317263382407,0.51173332065216,0.5250950775872154,11.128462256135757,0.9253273578681005,0.5654761904761905,"            day    n       acc   frac_up      y_up
0    2020-12-31  243  0.452675  0.744856  0.378601
1    2021-01-04  243  0.403292  0.613169  0.477366
2    2021-01-05  243  0.246914  0.456790  0.510288
3    2021-01-06  243  0.609053  0.711934  0.609053
4    2021-01-07  243  0.683128  0.572016  0.551440
...         ...  ...       ...       ...       ...
1003 2024-12-27  245  0.408163  0.979592  0.412245
1004 2024-12-30  245  0.502041  0.987755  0.489796
1005 2024-12-31  246  0.402439  0.991870  0.410569
1006 2025-01-02  246  0.479675  0.983740  0.479675
1007 2025-01-03  246  0.512195  0.979675  0.516260

[1008 rows x 5 columns]",16,0.0034086114630243287,0.00802666659885196,False
F_extremes10_1_logit_top500,extremes10,1,logit,expanding,top500,v2_all,relative,0.25,123888,1008,0.5166279219940592,0.5188315252486116,-0.0022036032545524886,0.508895585795046,0.5241309909150123,7.4566641023483236,0.9373203910706138,0.5406746031746031,"            day    n       acc   frac_up      y_up
0    2020-12-31  121  0.429752  0.818182  0.380165
1    2021-01-04  121  0.396694  0.685950  0.495868
2    2021-01-05  121  0.264463  0.537190  0.512397
3    2021-01-06  121  0.677686  0.768595  0.727273
4    2021-01-07  121  0.702479  0.636364  0.603306
...         ...  ...       ...       ...       ...
1003 2024-12-27  122  0.393443  0.975410  0.401639
1004 2024-12-30  122  0.508197  0.975410  0.483607
1005 2024-12-31  123  0.455285  0.983740  0.471545
1006 2025-01-02  123  0.552846  0.983740  0.552846
1007 2025-01-03  123  0.569106  0.967480  0.585366

[1008 rows x 5 columns]",17,0.0038865829387668975,0.00925172205539756,False
F_extremes10_1_logit_top500,extremes10,1,logit,expanding,top500,v2_all,relative,0.1,49135,1008,0.515274244428615,0.5095349547165972,0.00573928971201787,0.5058099159523782,0.5243340832931682,4.337481266375418,0.938608479105928,0.5386904761904762,"            day   n       acc   frac_up      y_up
0    2020-12-31  48  0.375000  0.812500  0.354167
1    2021-01-04  48  0.375000  0.750000  0.500000
2    2021-01-05  48  0.291667  0.625000  0.458333
3    2021-01-06  48  0.729167  0.812500  0.833333
4    2021-01-07  48  0.729167  0.625000  0.687500
...         ...  ..       ...       ...       ...
1003 2024-12-27  49  0.346939  0.959184  0.346939
1004 2024-12-30  49  0.469388  0.959184  0.428571
1005 2024-12-31  49  0.469388  0.959184  0.510204
1006 2025-01-02  49  0.530612  0.959184  0.530612
1007 2025-01-03  49  0.530612  0.938776  0.591837

[1008 rows x 5 columns]",18,0.0047255528930586705,0.011361730377824899,False
F_extremes10_1_logit_top500,extremes10,1,logit,expanding,top500,v2_all,relative,0.05,24192,1008,0.5091765873015873,0.5006200396825397,0.008556547619047672,0.4981812169312169,0.5200903191137566,2.9912149851256014,0.9300181878306879,0.47023809523809523,"            day   n       acc   frac_up      y_up
0    2020-12-31  24  0.416667  0.833333  0.416667
1    2021-01-04  24  0.458333  0.750000  0.541667
2    2021-01-05  24  0.250000  0.583333  0.416667
3    2021-01-06  24  0.666667  0.750000  0.833333
4    2021-01-07  24  0.750000  0.583333  0.750000
...         ...  ..       ...       ...       ...
1003 2024-12-27  24  0.458333  0.916667  0.458333
1004 2024-12-30  24  0.458333  0.958333  0.416667
1005 2024-12-31  24  0.500000  0.916667  0.583333
1006 2025-01-02  24  0.666667  0.958333  0.625000
1007 2025-01-03  24  0.708333  0.916667  0.791667

[1008 rows x 5 columns]",19,0.005589056679219302,0.013562969680028347,False
F_extremes10_1_logit_top500,extremes10,1,logit,expanding,top500,v2_all,relative,0.02,9072,1008,0.5134479717813051,0.501984126984127,0.011463844797178102,0.49889495149911817,0.5275573192239859,1.9685539112692876,0.9108245149911817,0.4930555555555556,"            day  n       acc   frac_up      y_up
0    2020-12-31  9  0.333333  1.000000  0.333333
1    2021-01-04  9  0.444444  1.000000  0.444444
2    2021-01-05  9  0.222222  1.000000  0.222222
3    2021-01-06  9  0.777778  0.666667  0.888889
4    2021-01-07  9  0.888889  0.555556  0.666667
...         ... ..       ...       ...       ...
1003 2024-12-27  9  0.555556  0.777778  0.555556
1004 2024-12-30  9  0.666667  0.888889  0.555556
1005 2024-12-31  9  0.444444  0.888889  0.555556
1006 2025-01-02  9  0.666667  0.888889  0.555556
1007 2025-01-03  9  0.777778  0.888889  0.888889

[1008 rows x 5 columns]",20,0.0073118285012417576,0.017897505040396177,False
